time	clients lost	clients arrive	clients departed	clients in queue	next arrival	next leave	next departure	clients patience	client arrival
0.0	0.0	0.0	0.0	0.0	0.18321998040597245	inf	inf	()	(0.23335472503136923, 0.3443346785462063, 0.37138392176997026, 0.37382889928030405, 0.6694634356043839, 0.7165801935490484, 0.7275163732862876, 0.7703303220391227, 0.7905855336730778, 1.0482738224454962, 1.0978153276719256, 1.2129671286556873, 1.254505562163935, 1.322111399645862, 1.3348947844114716, 1.426054222733153, 1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
0.18321998040597245	0.0	1.0	0.0	1.0	0.23335472503136923	0.20763347487890652	0.3145429641587033	(0.20763347487890652,)	(0.3443346785462063, 0.37138392176997026, 0.37382889928030405, 0.6694634356043839, 0.7165801935490484, 0.7275163732862876, 0.7703303220391227, 0.7905855336730778, 1.0482738224454962, 1.0978153276719256, 1.2129671286556873, 1.254505562163935, 1.322111399645862, 1.3348947844114716, 1.426054222733153, 1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
0.20763347487890652	1.0	1.0	0.0	0.0	0.23335472503136923	inf	inf	()	(0.3443346785462063, 0.37138392176997026, 0.37382889928030405, 0.6694634356043839, 0.7165801935490484, 0.7275163732862876, 0.7703303220391227, 0.7905855336730778, 1.0482738224454962, 1.0978153276719256, 1.2129671286556873, 1.254505562163935, 1.322111399645862, 1.3348947844114716, 1.426054222733153, 1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
0.23335472503136923	1.0	2.0	0.0	1.0	0.3443346785462063	0.36571183787337247	0.6141348940643854	(0.36571183787337247,)	(0.37138392176997026, 0.37382889928030405, 0.6694634356043839, 0.7165801935490484, 0.7275163732862876, 0.7703303220391227, 0.7905855336730778, 1.0482738224454962, 1.0978153276719256, 1.2129671286556873, 1.254505562163935, 1.322111399645862, 1.3348947844114716, 1.426054222733153, 1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
0.3443346785462063	1.0	3.0	0.0	2.0	0.37138392176997026	0.36571183787337247	0.6141348940643854	(0.36571183787337247, 0.44770784171185357)	(0.37382889928030405, 0.6694634356043839, 0.7165801935490484, 0.7275163732862876, 0.7703303220391227, 0.7905855336730778, 1.0482738224454962, 1.0978153276719256, 1.2129671286556873, 1.254505562163935, 1.322111399645862, 1.3348947844114716, 1.426054222733153, 1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
0.36571183787337247	2.0	3.0	0.0	1.0	0.37138392176997026	0.44770784171185357	1.2106053818085183	(0.44770784171185357,)	(0.37382889928030405, 0.6694634356043839, 0.7165801935490484, 0.7275163732862876, 0.7703303220391227, 0.7905855336730778, 1.0482738224454962, 1.0978153276719256, 1.2129671286556873, 1.254505562163935, 1.322111399645862, 1.3348947844114716, 1.426054222733153, 1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
0.37138392176997026	2.0	4.0	0.0	2.0	0.37382889928030405	0.44770784171185357	1.2106053818085183	(0.44770784171185357, 1.2362396414172114)	(0.6694634356043839, 0.7165801935490484, 0.7275163732862876, 0.7703303220391227, 0.7905855336730778, 1.0482738224454962, 1.0978153276719256, 1.2129671286556873, 1.254505562163935, 1.322111399645862, 1.3348947844114716, 1.426054222733153, 1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
0.37382889928030405	2.0	5.0	0.0	3.0	0.6694634356043839	0.44770784171185357	1.2106053818085183	(0.44770784171185357, 1.2362396414172114, 0.49287669103453935)	(0.7165801935490484, 0.7275163732862876, 0.7703303220391227, 0.7905855336730778, 1.0482738224454962, 1.0978153276719256, 1.2129671286556873, 1.254505562163935, 1.322111399645862, 1.3348947844114716, 1.426054222733153, 1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
0.44770784171185357	3.0	5.0	0.0	2.0	0.6694634356043839	0.49287669103453935	0.4485445981922756	(1.2362396414172114, 0.49287669103453935)	(0.7165801935490484, 0.7275163732862876, 0.7703303220391227, 0.7905855336730778, 1.0482738224454962, 1.0978153276719256, 1.2129671286556873, 1.254505562163935, 1.322111399645862, 1.3348947844114716, 1.426054222733153, 1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
0.4485445981922756	3.0	5.0	1.0	1.0	0.6694634356043839	0.49287669103453935	1.418326523711102	(0.49287669103453935,)	(0.7165801935490484, 0.7275163732862876, 0.7703303220391227, 0.7905855336730778, 1.0482738224454962, 1.0978153276719256, 1.2129671286556873, 1.254505562163935, 1.322111399645862, 1.3348947844114716, 1.426054222733153, 1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
